做做题	zuo'zuo'ti
快递柜	kuai'di'gui
多穿点	duo'chuan'dian
多穿点儿	duo'chuan'dian'er
全栈	quan'zhan
有的用	you'de'yong
区块链	qu'kuai'lian
传参	chuan'can
内测群	nei'ce'qun
自黑	zi'hei
互黑	hu'hei
无限之战	wu'xian'zhi'zhan
灭霸	mie'ba
视奸	shi'jian
自证预言	zi'zheng'yu'yan
烂大街	lan'da'jie
怀疑人生	huai'yi'ren'sheng
心塞	xin'sai
玩儿一会	wan'er'yi'hui
玩一会儿	wan'yi'hui'er
玩儿一会儿	wan'er'yi'hui'er
聊一会	liao'yi'hui
报时喵	bao'shi'miao
落格报时喵	luo'ge'bao'shi'miao
苹方	ping'fang
睡着	shui'zhe
吓死宝宝	xia'si'bao'bao
吓死宝宝了	xia'si'bao'bao'le
泼辣修图	po'la'xiu'tu
隔空投递	ge'kong'tou'di
脱单	tuo'dan
同行	tong'xing
键值对	jian'zhi'dui
十动然拒	shi'dong'ran'ju
细思恐极	xi'si'kong'ji
网飞	wang'fei
奈飞	nai'fei
商业互吹	shang'ye'hu'chui
抖机灵	dou'ji'ling
钢丝球	gang'si'qiu
体制内	ti'zhi'nei
菜鸟裹裹	cai'niao'guo'guo
菜鸟驿站	cai'niao'yi'zhan
左划	zuo'hua
左滑	zuo'hua
数码荔枝	shu'ma'li'zhi
虽迟但到	sui'chi'dan'dao
七牛	qi'niu
又拍云	you'pai'yun
岁寒输入法	sui'han'shu'ru'fa
裸贷	luo'dai
微博	wei'bo
知乎	zhi'hu
杠精	gang'jing
微信	wei'xin
众筹	zhong'chou
现充	xian'chong
锁屏	suo'ping
花呗	hua'bei
推友	tui'you
推友们	tui'you'men
追书神器	zhui'shu'shen'qi
追书	zhui'shu
喜提	xi'ti
端脑	duan'nao
妹纸	mei'zhi
人赢	ren'ying
落格五笔	luo'ge'wu'bi
西剧	xi'ju
英剧	ying'ju
憋说话吻我	bie'shuo'hua'wen'wo
憋说话	bie'shuo'hua
充钱	chong'qian
回血	hui'xie
甩锅	shuai'guo
扎心	zha'xin
肉翻	rou'fan
辅码	fu'ma
大牛双拼	da'niu'shuang'pin
点划	dian'hua
去重	qu'chong
配适	pei'shi
天猫	tian'mao
天猫超市	tian'mao'chao'shi
嗯嗯	en'en
安卓	an'zhuo
内购	nei'gou
男票	nan'piao
尬聊	ga'liao
躺枪	tang'qiang
欧皇	ou'huang
给力	gei'li
中国特供	zhong'guo'te'gong
港水	gang'shui
港行	gang'hang
澳行	ao'hang
美水	mei'shui
美行	mei'hang
欧水	ou'shui
欧行	ou'hang
官换	guan'huan
装逼	zhuang'bi
跑分	pao'fen
直男癌	zhi'nan'ai
直男	zhi'nan
竞品	jing'pin
撒狗粮	sa'gou'liang
美区	mei'qu
日区	ri'qu
傻屌	sha'diao
自提点	zi'ti'dian
店保	dian'bao
闲鱼	xian'yu
面基	mian'ji
软路由	ruan'lu'you
硬路由	ying'lu'you
红轴	hong'zhou
乡非	xiang'fei
隔应	ge'ying
小宝卡	xiao'bao'ka
大宝卡	da'bao'ka
小火箭	xiao'huo'jian
落格工作室	luo'ge'gong'zuo'shi
割韭菜	ge'jiu'cai
穿搭	chuan'da
找虐	zhao'nue
白瞎	bai'xia
拥笃	yong'du
砍功能	kan'gong'neng
匿了	ni'le
跟打器	gen'da'qi
只看过	zhi'kan'guo
箱说齐全	xiang'shuo'qi'quan
磁吸附	ci'xi'fu
穷逼	qiong'bi
虐心	nue'xin
瘦成闪电	shou'cheng'shan'dian
猛毒	meng'du
微操	wei'cao
西虹市首富	xi'hong'shi'shou'fu
冻手	dong'shou
冻脚	dong'jiao
浮层	fu'ceng
鲁蛇	lu'she
线稿	xian'gao
搬砖	ban'zhuan
技术债	ji'shu'zhai
贵巴巴	gui'ba'ba
自嗨	zi'hai
舔狗	tian'gou
央美	yang'mei
重用	chong'yong
极其炫酷	ji'qi'xuan'ku
唇釉	chun'you
握抓	wo'zhua
过渡色	guo'du'se
我画你猜	wo'hua'ni'cai
送码	song'ma
灵魂画手	ling'hun'hua'shou
画手	hua'shou
芝麻粒	zhi'ma'li
过早优化	guo'zao'you'hua
不搭边	bu'da'bian
慢放	man'fang
依赖库	yi'lai'ku
右划	you'hua
瓦坎达	wa'kan'da
刷推	shua'tui
飞猪	fei'zhu
硬广	ying'guang
脱支	tuo'zhi
奔着	ben'zhe
触宝	chu'bao
验梦	yan'meng
还得	hai'dei
砍一半	kan'yi'ban
老熟人	lao'shou'ren
秒传	miao'chuan
骗炮	pian'pao
死肥宅	si'fei'zhai
咋地	za'di
干吃	gan'chi
哦豁	o'huo
放里边	fang'li'bian
友链	you'lian
发推	fa'tui
短租	duan'zu
拧巴	ning'ba
卧蚕	wo'can
叫啥	jiao'sha
